"designId","banda","nombre_publico","frente_principal","otros_frentes_agrupados","dorsos_asociados","prendas_disponibles","previews_remera","previews_hoodie","previews_buzo","productos_indices_origen","ids_producto_origen","codigo_base","metodo_identidad","casos","alertas","decision","nota_revision"
"epica-20th-anniversary","EPICA","20th Anniversary","images/banda_sugeridas/epica/remera_epica_20th_anniversary.jpg","images/banda_sugeridas/epica/buzo_epica_20th_anniversary.jpg [5016:12]","","remera | hoodie | buzo_cuello_redondo","images/banda_sugeridas/epica/remera_epica_20th_anniversary.jpg","","images/banda_sugeridas/epica/buzo_epica_20th_anniversary.jpg","5016:1 | 5016:12","5016","EA2-5016.V2","transition-name","epica","MÁS DE UN FRENTE AGRUPADO | MISMA IDEA EN VARIAS PRENDAS | PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"epica-aspiral","EPICA","Aspiral","images/banda_sugeridas/epica/remera_epica_aspiral.jpg","","","remera | hoodie | buzo_cuello_redondo","images/banda_sugeridas/epica/remera_epica_aspiral.jpg","","","5016:0","5016","EA2-5016.V1","transition-name","epica","PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"epica-design-your-universe","EPICA","Design Your Universe","images/banda_sugeridas/epica/remera_epica_design_your_universe.jpg","","","remera | hoodie | buzo_cuello_redondo","images/banda_sugeridas/epica/remera_epica_design_your_universe.jpg","","","5016:2","5016","EA2-5016.V3","transition-name","epica","PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"epica-logo","EPICA","Logo","images/banda_sugeridas/epica/remera_epica_logo.jpg","","","remera | hoodie | buzo_cuello_redondo","images/banda_sugeridas/epica/remera_epica_logo.jpg","","","5016:3","5016","EA2-5016.V4","transition-name","epica","PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"epica-omega","EPICA","Omega","images/banda_sugeridas/epica/remera_epica_omega.jpg","images/banda_sugeridas/epica/hoodie_epica_omega.jpg [5016:9]","","remera | hoodie | buzo_cuello_redondo","images/banda_sugeridas/epica/remera_epica_omega.jpg","images/banda_sugeridas/epica/hoodie_epica_omega.jpg","","5016:4 | 5016:9","5016","EA2-5016.V5","transition-name","epica","MÁS DE UN FRENTE AGRUPADO | MISMA IDEA EN VARIAS PRENDAS | PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"epica-omega-alive-dvd","EPICA","Omega Alive DVD","images/banda_sugeridas/epica/remera_epica_omega_alive_dvd.jpg","","","remera | hoodie | buzo_cuello_redondo","images/banda_sugeridas/epica/remera_epica_omega_alive_dvd.jpg","","","5016:5","5016","EA2-5016.V6","transition-name","epica","PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"epica-the-holographic-principle","EPICA","The Holographic Principle","images/banda_sugeridas/epica/remera_epica_the_holographic_principle.jpg","images/banda_sugeridas/epica/hoodie_epica_the_holographic_principle.jpg [5016:10]","","remera | hoodie | buzo_cuello_redondo","images/banda_sugeridas/epica/remera_epica_the_holographic_principle.jpg","images/banda_sugeridas/epica/hoodie_epica_the_holographic_principle.jpg","","5016:7 | 5016:10","5016","EA2-5016.V8","transition-name","epica","MÁS DE UN FRENTE AGRUPADO | MISMA IDEA EN VARIAS PRENDAS | PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"epica-the-phantom-agony","EPICA","The Phantom Agony","images/banda_sugeridas/epica/remera_epica_the_phantom_agony.jpg","images/banda_sugeridas/epica/hoodie_epica_the_phantom_agony.jpg [5016:11]","","remera | hoodie | buzo_cuello_redondo","images/banda_sugeridas/epica/remera_epica_the_phantom_agony.jpg","images/banda_sugeridas/epica/hoodie_epica_the_phantom_agony.jpg","","5016:8 | 5016:11","5016","EA2-5016.V9","transition-name","epica","MÁS DE UN FRENTE AGRUPADO | MISMA IDEA EN VARIAS PRENDAS | PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"epica-the-quantum-enigma","EPICA","The Quantum Enigma","images/banda_sugeridas/epica/remera_epica_quantum.jpg","images/banda_sugeridas/epica/buzo_epica_quantum_enigma.jpg [5016:13]","","remera | hoodie | buzo_cuello_redondo","images/banda_sugeridas/epica/remera_epica_quantum.jpg","","images/banda_sugeridas/epica/buzo_epica_quantum_enigma.jpg","5016:6 | 5016:13","5016","EA2-5016.V7","transition-name","epica","MÁS DE UN FRENTE AGRUPADO | MISMA IDEA EN VARIAS PRENDAS | PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"hammerfall-crimson","HammerFall","Crimson","images/banda_sugeridas/hammerfall/hoodie_hammerfall_crimson.jpg","","","remera | hoodie | buzo_cuello_redondo","","images/banda_sugeridas/hammerfall/hoodie_hammerfall_crimson.jpg","","5089:0","5089","HHS-5089.V1","transition-name","hammerfall","PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"hammerfall-glory-to-the-grave","HammerFall","Glory to the Grave","images/banda_sugeridas/hammerfall/hoodie_hammerfall_glory_to_the_grave.jpg","","","remera | hoodie | buzo_cuello_redondo","","images/banda_sugeridas/hammerfall/hoodie_hammerfall_glory_to_the_grave.jpg","","5089:1","5089","HHS-5089.V2","transition-name","hammerfall","PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"hammerfall-legacy","HammerFall","Legacy","images/banda_sugeridas/hammerfall/hoodie_hammerfall_legacy.jpg","","","remera | hoodie | buzo_cuello_redondo","","images/banda_sugeridas/hammerfall/hoodie_hammerfall_legacy.jpg","","5089:2","5089","HHS-5089.V3","transition-name","hammerfall","PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"hammerfall-renegade","HammerFall","Renegade","images/banda_sugeridas/hammerfall/hoodie_hammerfall_renegade.jpg","","","remera | hoodie | buzo_cuello_redondo","","images/banda_sugeridas/hammerfall/hoodie_hammerfall_renegade.jpg","","5089:3","5089","HHS-5089.V4","transition-name","hammerfall","PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"hammerfall-steel","HammerFall","Steel","images/banda_sugeridas/hammerfall/hoodie_hammerfall_steel.jpg","","","remera | hoodie | buzo_cuello_redondo","","images/banda_sugeridas/hammerfall/hoodie_hammerfall_steel.jpg","","5089:4","5089","HHS-5089.V5","transition-name","hammerfall","PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
"iron-maiden-eddie-gaucho-argentino","Iron Maiden","Eddie Gaucho Argentino","images/iron_maiden/remera_iron_maiden_eddie_gaucho_argentino.jpg","images/iron_maiden/hoodie_iron_maiden_eddie_gaucho_argentino.jpg [7040:1] | images/iron_maiden/buzo_iron_maiden_eddie_gaucho_argentino.jpg [7040:2]","","remera | hoodie | buzo_cuello_redondo","images/iron_maiden/remera_iron_maiden_eddie_gaucho_argentino.jpg","images/iron_maiden/hoodie_iron_maiden_eddie_gaucho_argentino.jpg","images/iron_maiden/buzo_iron_maiden_eddie_gaucho_argentino.jpg","7040:0 | 7040:1 | 7040:2","7040","IMEGAF-7040.V1","transition-name","iron-maiden","MÁS DE UN FRENTE AGRUPADO | MISMA IDEA EN VARIAS PRENDAS | AGRUPADO POR NOMBRE","",""
"king-diamond-abigail","King Diamond","Abigail","images/banda_sugeridas/king_diamond/remera_king_diamond_abigail.jpg","","","remera | hoodie | buzo_cuello_redondo","images/banda_sugeridas/king_diamond/remera_king_diamond_abigail.jpg","","","5058:0","5058","KDDS-5058","transition-name","single-design","PRENDA SIN MOCK | AGRUPADO POR NOMBRE","",""
