id,code,name,legacyCategory,garments,album,proposedSection,proposedDesignGroup,confidence,reviewRequired,reason,image
"7002","","Buzo Rust in Peace","Buzo Cuello Redondo","buzo_cuello_redondo","Rust in Peace","albums","Rust in Peace","medium","true","card asociada a un álbum","images/buzos cuello redondo/megadeth_rust_in_peace.jpg"
"5","","Countdown to Extinction","Album","remera","Countdown to Extinction","albums","Countdown to Extinction","high","false","category legado Album","images/albums/Countdown_to_extinction/countdown_to_extinction_frente.jpg"
"8","","Cryptic Writings","Album","remera","Cryptic Writings","albums","Cryptic Writings","high","false","category legado Album","images/albums/Cryptic_Writings/cryptic_writings_original.jpg"
"245","","Dogs of Chernobyl","Singles","remera","The Sick, the Dying... and the Dead!","albums","The Sick, the Dying... and the Dead!","medium","true","card asociada a un álbum","images/singles/dogs_of_chernobyl.jpg"
"7","","Dystopia","Album","remera","Dystopia","albums","Dystopia","high","false","category legado Album","images/albums/Dystopia/dystopia.jpg"
"13","","Endgame","Album","remera","Endgame","albums","Endgame","high","false","category legado Album","images/albums/Endgame/endgame.jpg"
"5053","","Hangar 18","Singles","remera","Rust in Peace","albums","Rust in Peace","medium","true","card asociada a un álbum","images/singles/hangar_18_single_frente.jpg"
"18","","Hidden Treasures","Album","remera","Hidden Treasures","albums","Hidden Treasures","high","false","category legado Album","images/fmd-edition-3d/hidden_treasures/hidden_treasures_fmd_edition.jpg"
"5055","","Hoodie Countdown","Hoodies FMD","hoodie","Countdown to Extinction","albums","Countdown to Extinction","medium","true","card asociada a un álbum","images/hoddies_fmd/countdown.jpg"
"5065","","Hoodie Cryptic Writings","Hoodies FMD","hoodie","Cryptic Writings","albums","Cryptic Writings","medium","true","card asociada a un álbum","images/hoddies_fmd/cryptic.jpg"
"5066","","Hoodie Dystopia","Hoodies FMD","hoodie","Dystopia","albums","Dystopia","medium","true","card asociada a un álbum","images/hoddies_fmd/dystopia.jpg"
"5057","","Hoodie Killing Original","Hoodies FMD","hoodie","Killing Is My Business... and Business Is Good!","albums","Killing Is My Business... and Business Is Good!","medium","true","card asociada a un álbum","images/hoddies_fmd/killing_original.jpg"
"5061","","Hoodie Peace Sells","Hoodies FMD","hoodie","Peace Sells... but Who's Buying?","albums","Peace Sells... but Who's Buying?","medium","true","card asociada a un álbum","images/hoddies_fmd/peace_sells.jpg"
"5062","","Hoodie Rust in Peace","Hoodies FMD","hoodie","Rust in Peace","albums","Rust in Peace","medium","true","card asociada a un álbum","images/hoddies_fmd/rust_in_peace.jpg"
"5071","","Hoodie Rust in Peace 1990","Hoodies FMD","hoodie","Rust in Peace","albums","Rust in Peace","medium","true","card asociada a un álbum","images/hoddies_fmd/rust_in_peace_1990.jpg"
"5064","","Hoodie Youthanasia","Hoodies FMD","hoodie","Youthanasia","albums","Youthanasia","medium","true","card asociada a un álbum","images/hoddies_fmd/youthanasia.jpg"
"1","","Killing Is my bussines","Album","remera|buzo_cuello_redondo","Killing Is My Business... and Business Is Good!","albums","Killing Is My Business... and Business Is Good!","high","false","category legado Album","images/albums/Killing_Is_my_bussines/kimb_1985_original_.jpg"
"6031","","Lucretia","Singles","remera","Rust in Peace","albums","Rust in Peace","medium","true","card asociada a un álbum","images/singles/lucretia.jpg"
"6015","","Mary Jane","Singles","remera","So Far, So Good... So What!","albums","So Far, So Good... So What!","medium","true","card asociada a un álbum","images/singles/mary_jane.jpg"
"17","","Megadeth 2026","Album","remera","Megadeth (2026)","albums","Megadeth (2026)","high","false","category legado Album","images/albums/Megadeth/vic_llamas_blanca.jpg"
"2","","Peace Sells","Album","remera","Peace Sells... but Who's Buying?","albums","Peace Sells... but Who's Buying?","high","false","category legado Album","images/albums/Peace_sells/peace_sells_tapa.jpg"
"9","","Risk","Album","remera","Risk","albums","Risk","high","false","category legado Album","images/albums/Risk/risk_tapa_remastered.jpg"
"4","","Rust in Peace","Album","remera","Rust in Peace","albums","Rust in Peace","high","false","category legado Album","images/albums/Rust_in_peace/rust_in_peace.jpg"
"3","","So Far, So Good","Album","remera","So Far, So Good... So What!","albums","So Far, So Good... So What!","high","false","category legado Album","images/albums/SFSGSW/1-sfsgsw_tapa.jpg"
"15","","Super Collider","Album","remera","Super Collider","albums","Super Collider","high","false","category legado Album","images/albums/Super_Collider/super_collider.jpg"
"14","","TH1RT3EN","Album","remera","TH1RT3EN","albums","TH1RT3EN","high","false","category legado Album","images/albums/13/13.jpg"
"5022","","The Sick, The Dying... and The Dead","Singles","remera","The Sick, the Dying... and the Dead!","albums","The Sick, the Dying... and the Dead!","medium","true","card asociada a un álbum","images/singles/killing_time.jpg"
"16","","The Sick, the Dying...And the Dead!","Album","remera","The Sick, the Dying... and the Dead!","albums","The Sick, the Dying... and the Dead!","high","false","category legado Album","images/albums/The_sick/the_sick_the_dying_and_the_dead.jpg"
"11","","The System Has Failed","Album","remera","The System Has Failed","albums","The System Has Failed","high","false","category legado Album","images/albums/TSHF/the_system_has_failed.jpg"
"10","","The World Needs a Hero","Album","remera","The World Needs a Hero","albums","The World Needs a Hero","high","false","category legado Album","images/albums/TWNAH/the_worlds_needs_a_hero.jpg"
"12","","United Abominations","Album","remera","United Abominations","albums","United Abominations","high","false","category legado Album","images/albums/United_Abominations/united_abominations.jpg"
"6","","Youthanasia","Album","remera","Youthanasia","albums","Youthanasia","high","false","category legado Album","images/albums/Youthanasia/youthanasia.jpg"
"6020","","Aguante Megadeth","Dave Mustaine","remera","","dave-mustaine","Aguante Megadeth","high","false","category legado Dave Mustaine","images/musicians/Dave_Mustaine/aguante_megadeth_frente.jpg"
