id,code,name,legacyCategory,declaredGarments,inferredGarments,proposedGarments,variantGarments,variantsCount,status,missingFromDeclared,unsupportedDeclared,designKey,image
"6032","","Rust in Peace / Hangar 18 Reimagined","Singles","remera|hoodie","remera|hoodie","remera|hoodie","hoodie","9","consistent","","","rust-in-peace-hangar-18-reimagined","images/albums/Rust_in_peace/rust in peace - re-imaginado/rip_fmd_frente.jpg"
"6030","","Vic Arrested","VicRattlehead","remera","remera","remera","","1","consistent","","","vic-arrested","images/vic_rattlehead/vic_arrested.png"
"6029","","Vic Doctor","VicRattlehead","remera","remera","remera","","1","consistent","","","vic-doctor","images/vic_rattlehead/vic_doctor.png"
"6028","","Megadeth FMD Original","VicRattlehead","remera","remera","remera","","10","consistent","","","megadeth","images/fmd-edition-3d/vic_tour_2026/vic_silent_fmd_edition.jpg"
"5077","","Hoodie Rusted Pieces","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","rusted-pieces","images/hoddies_fmd/hoodie_rusted.png"
"6027","","Peace Sells FMD Edition","Album","remera","remera","remera","","2","consistent","","","peace-sells","images/fmd-edition-3d/peace/peace_3d_edition_v1.jpg"
"6026","","Killing Is my Bussines FMD Edition","Album","remera","remera","remera","","2","consistent","","","killing-is-my-bussines","images/fmd-edition-3d/killing/killing_final_3d_edition.jpg"
"6025","","Vic Llamas FMD Edition","Album","remera","remera","remera","","2","consistent","","","vic-llamas","images/fmd-edition-3d/megadeth_last_album/vic_llamas_3d_edition_frente.jpg"
"1","","Killing Is my bussines","Album","remera|buzo_cuello_redondo","remera|buzo_cuello_redondo","remera|buzo_cuello_redondo","remera|buzo_cuello_redondo","17","consistent","","","killing-is-my-bussines","images/albums/Killing_Is_my_bussines/kimb_1985_original_.jpg"
"2","","Peace Sells","Album","remera","remera","remera","","8","consistent","","","peace-sells","images/albums/Peace_sells/peace_sells_tapa.jpg"
"3","","So Far, So Good","Album","remera","remera","remera","","5","consistent","","","so-far-so-good","images/albums/SFSGSW/1-sfsgsw_tapa.jpg"
"4","","Rust in Peace","Album","remera","remera","remera","","11","consistent","","","rust-in-peace","images/albums/Rust_in_peace/rust_in_peace.jpg"
"5","","Countdown to Extinction","Album","remera","remera","remera","","11","consistent","","","countdown-to-extinction","images/albums/Countdown_to_extinction/countdown_to_extinction_frente.jpg"
"6","","Youthanasia","Album","remera","remera","remera","","9","consistent","","","youthanasia","images/albums/Youthanasia/youthanasia.jpg"
"18","","Hidden Treasures","Album","remera","remera","remera","","1","consistent","","","hidden-treasures","images/fmd-edition-3d/hidden_treasures/hidden_treasures_fmd_edition.jpg"
"8","","Cryptic Writings","Album","remera","remera","remera","","11","consistent","","","cryptic-writings","images/albums/Cryptic_Writings/cryptic_writings_original.jpg"
"9","","Risk","Album","remera","remera","remera","","4","consistent","","","risk","images/albums/Risk/risk_tapa_remastered.jpg"
"10","","The World Needs a Hero","Album","remera","remera","remera","","3","consistent","","","the-world-needs-a-hero","images/albums/TWNAH/the_worlds_needs_a_hero.jpg"
"11","","The System Has Failed","Album","remera","remera","remera","","2","consistent","","","the-system-has-failed","images/albums/TSHF/the_system_has_failed.jpg"
"12","","United Abominations","Album","remera","remera","remera","","5","consistent","","","united-abominations","images/albums/United_Abominations/united_abominations.jpg"
"13","","Endgame","Album","remera","remera","remera","","0","consistent","","","endgame","images/albums/Endgame/endgame.jpg"
"14","","TH1RT3EN","Album","remera","remera","remera","remera","4","consistent","","","th1rt3en","images/albums/13/13.jpg"
"15","","Super Collider","Album","remera","remera","remera","","2","consistent","","","super-collider","images/albums/Super_Collider/super_collider.jpg"
"7","","Dystopia","Album","remera","remera","remera","","8","consistent","","","dystopia","images/albums/Dystopia/dystopia.jpg"
"16","","The Sick, the Dying...And the Dead!","Album","remera","remera","remera","","3","consistent","","","the-sick-the-dying-and-the-dead","images/albums/The_sick/the_sick_the_dying_and_the_dead.jpg"
"17","","Megadeth 2026","Album","remera","remera","remera","","11","consistent","","","megadeth","images/albums/Megadeth/vic_llamas_blanca.jpg"
"235","","Vic Nuclear","Singles","remera","remera","remera","","0","consistent","","","vic-nuclear","images/singles/vic_nuclear.jpg"
"236","","Rusted Pieces","Singles","remera","remera","remera","","7","consistent","","","rusted-pieces","images/singles/rusted_pieces.jpg"
"246","","Singles Ultimo Disco","Singles","remera","remera","remera","","15","consistent","","","singles-ultimo-disco","images/singles/let_there_be_shred.jpg"
"6015","","Mary Jane","Singles","remera","remera","remera","","3","consistent","","","mary-jane","images/singles/mary_jane.jpg"
"1065","","RIDE THE LIGHTNING BY MEGADETH","Singles","remera","remera","remera","","4","consistent","","","ride-the-lightning-by-megadeth","images/singles/02 - the_condemned-toxic_green.jpg"
"245","","Dogs of Chernobyl","Singles","remera","remera","remera","","0","consistent","","","dogs-of-chernobyl","images/singles/dogs_of_chernobyl.jpg"
"2801","","Dave 1992 V1","Dave Mustaine","remera","remera","remera","","4","consistent","","","dave","images/musicians/Dave_Mustaine/dave_1992_v1.jpg"
"2802","","Dave 90s RIP Live","Dave Mustaine","remera","remera","remera","","3","consistent","","","dave-90s-rip-live","images/musicians/Dave_Mustaine/dave_90s_rip_live.jpg"
"2806","","Dave Fuck You","Dave Mustaine","remera","remera","remera","","2","consistent","","","dave-fuck-you","images/musicians/Dave_Mustaine/frente_dave_fuck_you.jpg"
"2811","","Dave Angel of Deth","Dave Mustaine","remera","remera","remera","","0","consistent","","","dave-angel-of-deth","images/musicians/Dave_Mustaine/dave_mustaine_angel_of_deth.jpg"
"2814","","Dave So Far Era","Dave Mustaine","remera","remera","remera","","3","consistent","","","dave-so-far-era","images/musicians/Dave_Mustaine/dave_so_far_era.jpg"
"2815","","Dave Vic RIP","Dave Mustaine","remera","remera","remera","","4","consistent","","","dave-vic-rip","images/musicians/Dave_Mustaine/dave_vic_rip.jpg"
"6014","","Dave Mustaine Argentina V1","Dave Mustaine","remera","remera","remera","","2","consistent","","","dave-mustaine-argentina","images/musicians/Dave_Mustaine/dave_mustaine_argv1.jpg"
"6020","","Aguante Megadeth","Dave Mustaine","remera","remera","remera","","2","consistent","","","aguante-megadeth","images/musicians/Dave_Mustaine/aguante_megadeth_frente.jpg"
"29","","Marty Friedman","Musician","remera","remera","remera","","4","consistent","","","marty-friedman","images/musicians/Marty_Friedman/Marty_1990_cte.jpg"
"30","","Nick Menza","Musician","remera","remera","remera","","7","consistent","","","nick-menza","images/musicians/Nick_Menza/nick_menza_rip_tour.jpg"
"31","","Formaciones","Musician","remera","remera","remera","","3","consistent","","","formaciones","images/musicians/formaciones/peace_sells_era.jpg"
"39","","VIC GAUCHO ARGENTINO","Tour","remera","remera","remera","","5","consistent","","","vic-gaucho-argentino","images/tours/Vic_Gaucho_Argentino/vic_gaucho_original.jpg"
"40","","Tour Argentina","Tour","remera","remera","remera","","18","consistent","","","tour-argentina","images/tours/Tour_argentina/poster_tour_argentina.jpg"
"300","","Marty & Dave","Tour","remera","remera","remera","","1","consistent","","","marty-dave","images/tours/Live/marty_dave.jpg"
"301","","Peace Sells Live","Tour","remera","remera","remera","","1","consistent","","","peace-sells-live","images/tours/Live/peace_sells_live.jpg"
"320","","Vic Tour 2026","Tour","remera","remera","remera","","5","consistent","","","vic-tour","images/tours/Tour_2026/vic_tour_2026_v1.jpg"
"304","","Vic Rattlehead - My Last Words","VicRattlehead","remera","remera","remera","","5","consistent","","","vic-rattlehead-my-last-words","images/vic_rattlehead/vic_rattlehead_my_last_words.jpg"
"314","","KIMB 40 Edition","VicRattlehead","remera","remera","remera","","4","consistent","","","kimb-40","images/vic_rattlehead/kimb_40_edition_v1.jpg"
"419","","Vic Editions","VicRattlehead","remera","remera","remera","","3","consistent","","","vic-editions","images/vic_rattlehead/vic_darker_edition.jpg"
"420","","Militar Rattlehead","VicRattlehead","remera","remera","remera","","0","consistent","","","militar-rattlehead","images/vic_rattlehead/militar_rattlehead.jpg"
"423","","Nuclear Vic Bomb","VicRattlehead","remera","remera","remera","","0","consistent","","","nuclear-vic-bomb","images/vic_rattlehead/nuclear_vic_bomb.jpg"
"424","","Vic The Arsenal of Megadeth","VicRattlehead","remera","remera","remera","","0","consistent","","","vic-the-arsenal-of-megadeth","images/vic_rattlehead/vic_the_arsenal_of_megadeth.png"
"425","","Vic Explosion","VicRattlehead","remera","remera","remera","","0","consistent","","","vic-explosion","images/vic_rattlehead/vic_explosion.png"
