ID,nombre,imagenPrincipal,garments,categoryActual,designFamilyIdActual,megadethSectionActual,megadethAlbumActual,megadethEraActual,megadethDesignTypeActual,isDesignDuplicateCandidate,curationNotes,designFamilyIdCorregido,megadethSectionCorregido,megadethAlbumCorregido,megadethDesignTypeCorregido,decisionFinal,notaFernando
"6032","Rust in Peace / Hangar 18 Reimagined","images/albums/Rust_in_peace/rust in peace - re-imaginado/rip_fmd_frente.jpg","remera|hoodie","Singles","megadeth-card-6032","reimagined_fmd","Rust in Peace","1990","reimagined_fmd","false","Revisar sección propuesta: reimagined_fmd","","","","","",""
"6028","Megadeth FMD Original","images/fmd-edition-3d/vic_tour_2026/vic_silent_fmd_edition.jpg","remera","VicRattlehead","megadeth-megadeth","vic_rattlehead","","","vic","true","Familia relacionada detectada: megadeth-megadeth; no fusionar automáticamente","","","","","",""
"5077","Hoodie Rusted Pieces","images/hoddies_fmd/hoodie_rusted.png","hoodie","Hoodies FMD","megadeth-rusted-pieces","original_fmd","","","original_fmd","true","Revisar sección propuesta: original_fmd. Familia relacionada detectada: megadeth-rusted-pieces; no fusionar automáticamente","","","","","",""
"6027","Peace Sells FMD Edition","images/fmd-edition-3d/peace/peace_3d_edition_v1.jpg","remera","Album","megadeth-peace-sells","original_fmd","Peace Sells... but Who's Buying?","1986","original_fmd","true","Familia relacionada detectada: megadeth-peace-sells; no fusionar automáticamente","","","","","",""
"6026","Killing Is my Bussines FMD Edition","images/fmd-edition-3d/killing/killing_final_3d_edition.jpg","remera","Album","megadeth-killing-is-my-bussines","original_fmd","Killing Is My Business... and Business Is Good!","1985","original_fmd","true","Familia relacionada detectada: megadeth-killing-is-my-bussines; no fusionar automáticamente","","","","","",""
"6025","Vic Llamas FMD Edition","images/fmd-edition-3d/megadeth_last_album/vic_llamas_3d_edition_frente.jpg","remera","Album","megadeth-card-6025","vic_rattlehead","Megadeth (2026)","2026","vic","false","Revisar sección propuesta: vic_rattlehead","","","","","",""
"1","Killing Is my bussines","images/albums/Killing_Is_my_bussines/kimb_1985_original_.jpg","remera|buzo_cuello_redondo","Album","megadeth-killing-is-my-bussines","albums","Killing Is My Business... and Business Is Good!","1985","album_cover","true","Familia relacionada detectada: megadeth-killing-is-my-bussines; no fusionar automáticamente","","","","","",""
"2","Peace Sells","images/albums/Peace_sells/peace_sells_tapa.jpg","remera","Album","megadeth-peace-sells","albums","Peace Sells... but Who's Buying?","1986","album_cover","true","Familia relacionada detectada: megadeth-peace-sells; no fusionar automáticamente","","","","","",""
"3","So Far, So Good","images/albums/SFSGSW/1-sfsgsw_tapa.jpg","remera","Album","megadeth-so-far-so-good","albums","So Far, So Good... So What!","1988","album_cover","true","Familia relacionada detectada: megadeth-so-far-so-good; no fusionar automáticamente","","","","","",""
"4","Rust in Peace","images/albums/Rust_in_peace/rust_in_peace.jpg","remera","Album","megadeth-rust-in-peace","albums","Rust in Peace","1990","album_cover","true","Familia relacionada detectada: megadeth-rust-in-peace; no fusionar automáticamente","","","","","",""
