"destacado_fmd_si_no","categoria_curada","design_id","slug","nombre_visible","ids_origen","categoria_album_actual","tags_actuales","imagen_principal","destacado_actual","visibility_tier_actual","commercial_priority_actual"
"","","cd-megadeth-02-the-condemned-toxic-green--p1065","cd-megadeth-02-the-condemned-toxic-green-p1065","02 - The Condemned Toxic Green","1065","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/02 - the_condemned-toxic_green.jpg","NO","archive","58"
"","","cd-megadeth-03-vic-the-executor-white--p1065","cd-megadeth-03-vic-the-executor-white-p1065","03 - Vic The Executor White","1065","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/03 - vic_the_executor_white.jpg","NO","archive","58"
"","","cd-megadeth-04-vic-the-executor-red--p1065","cd-megadeth-04-vic-the-executor-red-p1065","04 - Vic The Executor Red","1065","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/04 - vic_the_executor_red.jpg","NO","archive","58"
"","","cd-megadeth-05-the-switch--p1065","cd-megadeth-05-the-switch-p1065","05 - The Switch","1065","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/05 - the_switch.jpg","NO","archive","58"
"","","cd-megadeth-13-3d-v1--p14","cd-megadeth-13-3d-v1-p14","13 3D V1","14","Album | TH1RT3EN","Megadeth | Megadeth Vault | Thrash Metal | TH1RT3EN | remera | Megadeth Archive | Megadeth Albums","images/fmd-edition-3d/thirteen/13_3d_fmd_edition_v1.jpg","NO","catalog","66"
"","","cd-megadeth-13-3d-v2--p14","cd-megadeth-13-3d-v2-p14","13 3D V2","14","Album | TH1RT3EN","Megadeth | Megadeth Vault | Thrash Metal | TH1RT3EN | remera | Megadeth Archive | Megadeth Albums","images/fmd-edition-3d/thirteen/13_3d_fmd_edition_v2.jpg","NO","catalog","66"
"","","cd-megadeth-13-fmd-edition--p14","cd-megadeth-13-fmd-edition-p14","13 FMD Edition","14","Album | TH1RT3EN","Megadeth | Megadeth Vault | Thrash Metal | TH1RT3EN | remera | Megadeth Archive | Megadeth Albums","images/fmd-edition-3d/thirteen/13_fmd_edition.jpg","NO","catalog","66"
"","","cd-megadeth-1990-cte--p29","cd-megadeth-1990-cte-p29","1990 CTE","29","Musician","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Members","images/musicians/Marty_Friedman/Marty_1990_cte.jpg","NO","catalog","56"
"","","cd-megadeth-1990-rip--p29","cd-megadeth-1990-rip-p29","1990 RIP","29","Musician","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Members","images/musicians/Marty_Friedman/Marty_1990_RIP.jpg","NO","catalog","56"
"","","cd-megadeth-1992-firma--p29","cd-megadeth-1992-firma-p29","1992 FIRMA","29","Musician","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Members","images/musicians/Marty_Friedman/Marty_1992_FIRMA.jpg","NO","catalog","56"
