"id","name","candidateBand","classification","img"
"5118","Almafuerte En Vida","Almafuerte","band-associated","images/personalizado/almafuerte_en_vida.jpg"
"310","Amon Amarth","Amon Amarth","band-associated","images/personalizado/amon_amarth.jpg"
"5122","Aphex Twin","","non-band-or-review","images/personalizado/aphex_twin.jpg"
"49","Bifrost Argentina","","non-band-or-review","images/personalizado/bifrost_argentina.jpg"
"56","Calavera Guitar","","non-band-or-review","images/personalizado/calavera_guitar.jpg"
"5121","Diego Maradona","","non-band-or-review","images/personalizado/diego_maradona.jpg"
"432","Down","Down","band-associated","images/personalizado/down_frente.jpg"
"51","Flema","Flema","band-associated","images/personalizado/flema.jpg"
"311","Guitarrista Blues","","non-band-or-review","images/personalizado/guitarrista_blues.jpg"
"5119","HermÃƒÂ©tica","Hermética","band-associated","images/personalizado/hermetica.jpg"
"312","Jason Becker","Jason Becker","band-associated","images/personalizado/jason_becker.jpg"
"305","John Petrucci","Dream Theater / John Petrucci","band-associated","images/personalizado/john_petrucci.jpg"
"5120","Judas Priest","Judas Priest","band-associated","images/personalizado/judas_priest.jpg"
"41","Kurt Nirvana","Nirvana","band-associated","images/personalizado/kurt_nirvana.jpg"
"62","Lemmy Stone Deaf Forever","Motörhead","band-associated","images/personalizado/lemmy_stone_deaf_forever.jpg"
"422","M'era Luna","M'era Luna","band-associated","images/personalizado/m'era_luna_logo.jpg"
"63","Motorhead","Motörhead","band-associated","images/personalizado/motorhead.jpg"
"59","Primal Fear","Primal Fear","band-associated","images/personalizado/primal_fear.jpg"
"54","Saltatio Mortis","Saltatio Mortis","band-associated","images/personalizado/saltatio_mortis.jpg"
"50","Slinka Mascota","","non-band-or-review","images/personalizado/slinka_mascota.jpg"
"421","Stranger Things Original","","non-band-or-review","images/personalizado/stragers_things_original.jpg"
"43","Symphony X","Symphony X","band-associated","images/personalizado/symphony_x.jpg"
"57","The Ramones","Ramones","band-associated","images/personalizado/the_ramones.jpg"
"58","WASP","WASP","band-associated","images/personalizado/wasp.jpg"
"322","WASP v2","WASP","band-associated","images/personalizado/wasp_v2.jpg"
"53","Wintersun","Wintersun","band-associated","images/personalizado/wintersun.jpg"
"5130","Kanonenfiebe Argentina","Kanonenfieber","band-associated","images/personalizado/kanonenfiebe_argentina.jpg"
"5031","Black Label","Black Label Society","band-associated","images/personalizado/black_label_frente.jpg"
