"id","name","legacyCategory","img"
"5077","Hoodie Rusted Pieces","Hoodies FMD","images/hoddies_fmd/hoodie_rusted.png"
"302","AC/DC Money Talks","AC/DC","images/acdc/money_talks.jpg"
"303","AC/DC Angus PWRD UP","AC/DC","images/acdc/angus_pwrd_up.jpg"
"5101","AC/DC Holy Shit","AC/DC","images/acdc/ac_dc_holy_shit.jpg"
"1","Killing Is my bussines","Album","images/albums/Killing_Is_my_bussines/kimb_1985_original_.jpg"
"2","Peace Sells","Album","images/albums/Peace_sells/peace_sells_tapa.jpg"
"3","So Far, So Good","Album","images/albums/SFSGSW/1-sfsgsw_tapa.jpg"
"4","Rust in Peace","Album","images/albums/Rust_in_peace/rust_in_peace.jpg"
"5","Countdown to Extinction","Album","images/albums/Countdown_to_extinction/countdown_to_extinction_frente.jpg"
"6","Youthanasia","Album","images/albums/Youthanasia/youthanasia.jpg"
"18","Hidden Treasures","Album","images/fmd-edition-3d/hidden_treasures/hidden_treasures_fmd_edition.jpg"
"8","Cryptic Writings","Album","images/albums/Cryptic_Writings/cryptic_writings_original.jpg"
"9","Risk","Album","images/albums/Risk/risk_tapa_remastered.jpg"
"10","The World Needs a Hero","Album","images/albums/TWNAH/the_worlds_needs_a_hero.jpg"
"11","The System Has Failed","Album","images/albums/TSHF/the_system_has_failed.jpg"
"12","United Abominations","Album","images/albums/United_Abominations/united_abominations.jpg"
"13","Endgame","Album","images/albums/Endgame/endgame.jpg"
"14","TH1RT3EN","Album","images/albums/13/13.jpg"
"15","Super Collider","Album","images/albums/Super_Collider/super_collider.jpg"
"7","Dystopia","Album","images/albums/Dystopia/dystopia.jpg"
"16","The Sick, the Dying...And the Dead!","Album","images/albums/The_sick/the_sick_the_dying_and_the_dead.jpg"
"17","Megadeth 2026","Album","images/albums/Megadeth/vic_llamas_blanca.jpg"
"235","Vic Nuclear","Singles","images/singles/vic_nuclear.jpg"
"236","Rusted Pieces","Singles","images/singles/rusted_pieces.jpg"
"246","Singles Ultimo Disco","Singles","images/singles/let_there_be_shred.jpg"
"6015","Mary Jane","Singles","images/singles/mary_jane.jpg"
"1065","RIDE THE LIGHTNING BY MEGADETH","Singles","images/singles/02 - the_condemned-toxic_green.jpg"
"245","Dogs of Chernobyl","Singles","images/singles/dogs_of_chernobyl.jpg"
"29","Marty Friedman","Musician","images/musicians/Marty_Friedman/Marty_1990_cte.jpg"
"30","Nick Menza","Musician","images/musicians/Nick_Menza/nick_menza_rip_tour.jpg"
"31","Formaciones","Musician","images/musicians/formaciones/peace_sells_era.jpg"
"46","Dimebag Darrell BN","Pantera","images/pantera/dimebag_darrell_BN.jpg"
"47","Dimebag Darrell Color","Pantera","images/pantera/dimebag_darrell_color.jpg"
"48","Dimebag Darrell Guitar Gold","Pantera","images/pantera/dimebag_darrell_guitar_gold.jpg"
"323","Dimebag Tribute Edition v1","Pantera","images/pantera/dimebag_tribute_edition_v1.jpg"
"324","Dime CFH Fuego Edition","Pantera","images/pantera/dime_cfh_fuego_edition.jpg"
"326","Dimebag Darrell Abbott White","Pantera","images/pantera/dimebag_darrell_abbott_white.jpg"
"327","Dimebag Darrell Homenaje","Pantera","images/pantera/dimebag_darrell_abbott_black.jpg"
"328","Pantera 101 Live","Pantera","images/pantera/pantera_101_live.jpg"
"329","Pantera Darrell v2","Pantera","images/pantera/pantera_darrell_v2.jpg"
"307","Iron Maiden - Live After Death","Iron Maiden","images/iron_maiden/maiden_live_after_death.jpg"
"308","Iron Maiden","Iron Maiden","images/iron_maiden/iron_maiden.jpg"
"400","Dorso Tour BN","Dorsales","images/dorsos/dorso_tour_BN.jpg"
"401","Dorso Tour Oficial","Dorsales","images/dorsos/dorso_tour_oficial.jpg"
"402","Dorso Tour v1","Dorsales","images/dorsos/dorso_tour_v1.jpg"
"403","Dorso Tour v2","Dorsales","images/dorsos/dorso_tour_v2.jpg"
"404","Guitarra Arg Dorso Blanca","Dorsales","images/dorsos/guitarra_arg_dorso_blanca (1).png"
"405","Vic Tour 2026","Tour","images/tours/Tour_2026/vic_tour_2026_v4.png"
"406","Dorso Vic Tour","Dorsales","images/dorsos/dorso_vic_tour.jpg"
"407","Dorso Vic Tour BLK","Dorsales","images/dorsos/dorso_vic_tour_blk.jpg"
"5019","Dorso Dave Argentina","Dorsales","images/dorsos/dorso_dave_argentina.jpg"
"5020","Dorso Tour","Dorsales","images/dorsos/dorso_tour.jpg"
"5021","Dorso Arg Tour","Dorsales","images/dorsos/dorso_arg_tour.png"
"7034","Iron Maiden - Eddie v1","Iron Maiden","images/iron_maiden/iron_maiden_eddie_v1.jpg"
"408","Iron Maiden - Eddie v2","Iron Maiden","images/iron_maiden/iron_maiden_eddie_v2.jpg"
"409","Iron Maiden - Eddie v3","Iron Maiden","images/iron_maiden/iron_maiden_eddie_v3.jpg"
"5125","Iron Maiden - Eddie v4","Iron Maiden","images/iron_maiden/iron_maiden_eddie_v4.jpg"
"5126","Dimebag Darrell Live","Pantera","images/pantera/dimebag_darrell_live.jpg"
"410","Dimebag Logo Fuego","Pantera","images/pantera/dimebag_darrell_logo_fuego.jpg"
"411","Guitar Dimebag","Pantera","images/pantera/guitar_dimebag.jpg"
"412","Pantera Art","Pantera","images/pantera/pantera_art.jpg"
"413","Pantera Band v1","Pantera","images/pantera/pantera_band_v1.jpg"
"414","Pantera Snake v1","Pantera","images/pantera/pantera_snake_v1.jpg"
"415","Pantera Snake v2","Pantera","images/pantera/pantera_snake_v2.jpg"
"417","Phil Anselmo v1","Pantera","images/pantera/phil_anselmo_v1.jpg"
"418","Pantera Tour 2000","Pantera","images/pantera/pantera_tour_2000_frente.jpg"
"4190","Phil Emblem","Pantera","images/pantera/phil_emblem.jpg"
"4191","Vulgar FMD","Pantera","images/pantera/vulgar_fmd.jpg"
"60","AC/DC Europe 84","AC/DC","images/acdc/ac_dc_europe_84.jpg"
"5118","Almafuerte En Vida","Personalizados","images/personalizado/almafuerte_en_vida.jpg"
"310","Amon Amarth","Personalizados","images/personalizado/amon_amarth.jpg"
"5122","Aphex Twin","Personalizados","images/personalizado/aphex_twin.jpg"
"49","Bifrost Argentina","Personalizados","images/personalizado/bifrost_argentina.jpg"
"56","Calavera Guitar","Personalizados","images/personalizado/calavera_guitar.jpg"
"5121","Diego Maradona","Personalizados","images/personalizado/diego_maradona.jpg"
"432","Down","Personalizados","images/personalizado/down_frente.jpg"
"51","Flema","Personalizados","images/personalizado/flema.jpg"
"311","Guitarrista Blues","Personalizados","images/personalizado/guitarrista_blues.jpg"
"5119","HermÃƒÂ©tica","Personalizados","images/personalizado/hermetica.jpg"
"312","Jason Becker","Personalizados","images/personalizado/jason_becker.jpg"
"305","John Petrucci","Personalizados","images/personalizado/john_petrucci.jpg"
"5120","Judas Priest","Personalizados","images/personalizado/judas_priest.jpg"
"41","Kurt Nirvana","Personalizados","images/personalizado/kurt_nirvana.jpg"
"62","Lemmy Stone Deaf Forever","Personalizados","images/personalizado/lemmy_stone_deaf_forever.jpg"
"422","M'era Luna","Personalizados","images/personalizado/m'era_luna_logo.jpg"
"63","Motorhead","Personalizados","images/personalizado/motorhead.jpg"
"59","Primal Fear","Personalizados","images/personalizado/primal_fear.jpg"
"54","Saltatio Mortis","Personalizados","images/personalizado/saltatio_mortis.jpg"
"50","Slinka Mascota","Personalizados","images/personalizado/slinka_mascota.jpg"
"421","Stranger Things Original","Personalizados","images/personalizado/stragers_things_original.jpg"
"43","Symphony X","Personalizados","images/personalizado/symphony_x.jpg"
"57","The Ramones","Personalizados","images/personalizado/the_ramones.jpg"
"58","WASP","Personalizados","images/personalizado/wasp.jpg"
"322","WASP v2","Personalizados","images/personalizado/wasp_v2.jpg"
"53","Wintersun","Personalizados","images/personalizado/wintersun.jpg"
"5130","Kanonenfiebe Argentina","Personalizados","images/personalizado/kanonenfiebe_argentina.jpg"
"1059","Kill 'Em All","Metallica","images/metallica/metallica_kill_em_all_frente.jpg"
"1060","Ride the Lightning","Metallica","images/metallica/metallica_ride_the_classic.jpg"
"1061","Master of Puppets","Metallica","images/metallica/metallica_master_of_puppets_classic.jpg"
"1062","...And Justice for All","Metallica","images/metallica/metallica_and_justice-classic.jpg"
"1063","Metallica Early Years","Metallica","images/metallica/metallica_early_years.jpg"
"2001","Avenged Sevenfold Collection","Avenged Sevenfold","images/avenged_sevenfold/ax7-v1.jpg"
"2002","Avenged Sevenfold Dorsos","Avenged Sevenfold","images/avenged_sevenfold/ax7_dorso.jpg"
"5001","Alice in Chains","Bandas Sugeridas","images/banda_sugeridas/alice_in_chains/alice_in_chains_dirt.jpg"
"5002","Angra","Bandas Sugeridas","images/banda_sugeridas/angra/angra_temple_of_shadows_.jpg"
"5003","Black Sabbath","Bandas Sugeridas","images/banda_sugeridas/black_sabbath/black_sabbath.jpg"
"5004","Def Leppard","Bandas Sugeridas","images/banda_sugeridas/def_leppard/def_leppard_hysteria.jpg"
"5005","Dream Theater","Bandas Sugeridas","images/banda_sugeridas/dream_theater/dream_theater_parasomnia_frente.jpg"
"5006","Gojira","Bandas Sugeridas","images/banda_sugeridas/gojira/gojira_the_way.jpg"
"5007","Guns N' Roses","Bandas Sugeridas","images/banda_sugeridas/guns_and_roses/guns_use_your_illusion.jpg"
"5008","Hawthorne","Bandas Sugeridas","images/banda_sugeridas/howthorne/howthorne.jpg"
"5009","Helloween","Bandas Sugeridas","images/banda_sugeridas/helloween/helloween_40_tour.jpg"
"5010","HermÃƒÂ©tica","Bandas Sugeridas","images/banda_sugeridas/hermetica/hermetica_acido_argentino.jpg"
"5011","Lethal","Bandas Sugeridas","images/banda_sugeridas/lethal/lethal.jpg"
"5012","Nightwish","Bandas Sugeridas","images/banda_sugeridas/nightwish/nightwish_once.jpg"
"5013","Ozzy Osbourne","Bandas Sugeridas","images/banda_sugeridas/ozzy/ozzy.jpg"
"5014","Rammstein","Bandas Sugeridas","images/banda_sugeridas/rammstein/rammstein.jpg"
"5015","Sepultura","Bandas Sugeridas","images/banda_sugeridas/sepultura/sepultura_roots.jpg"
"5017","Sodom - Agent Orange","Bandas Sugeridas","images/banda_sugeridas/sodom/sodom_agent_orange.jpg"
"5117","Sodom - Logo","Bandas Sugeridas","images/banda_sugeridas/sodom/sodom_frente.jpg"
"5018","SÃƒÂ¼ndenrausch","Bandas Sugeridas","images/banda_sugeridas/sundenrausch/sundenrausch.jpg"
"5123","Testament","Bandas Sugeridas","images/banda_sugeridas/testament/testament_souls_black.jpg"
"5200","Cacophony","Bandas Sugeridas","images/banda_sugeridas/cacophony/cacophony_sms.jpg"
"5022","The Sick, The Dying... and The Dead","Singles","images/singles/killing_time.jpg"
"5031","Black Label","Personalizados","images/personalizado/black_label_frente.jpg"
"5032","Iron Maiden Book","Iron Maiden","images/iron_maiden/iron_maiden_book.jpg"
"5033","Iron Maiden Can I","Iron Maiden","images/iron_maiden/iron_maiden_can_i.jpg"
"5034","Iron Maiden The Book","Iron Maiden","images/iron_maiden/iron_maiden_the_book.jpg"
"5035","Iron Maiden Brave","Iron Maiden","images/iron_maiden/iron_maiden_brave.jpg"
"5036","Iron Maiden Killers","Iron Maiden","images/iron_maiden/iron_maiden_killers_frente.jpg"
"5037","Iron Maiden Somewhere","Iron Maiden","images/iron_maiden/iron_maiden_somewhere.jpg"
"5038","Iron Maiden Fear","Iron Maiden","images/iron_maiden/iron_maiden_fear_v1.jpg"
"5040","Angus Young V1","AC/DC","images/acdc/angus_v1.jpg"
"5041","Black Ice","AC/DC","images/acdc/black_ice.jpg"
"5042","Fly on the Wall","AC/DC","images/acdc/fly_on_the_wall.jpg"
"5043","For Those Remastered","AC/DC","images/acdc/for_those_remastered.jpg"
"5044","Let There Be Rock (Black)","AC/DC","images/acdc/let_there_black.jpg"
"5045","Let There Be Rock (White)","AC/DC","images/acdc/let_there_white.jpg"
"5046","Highway to Hell V1","AC/DC","images/acdc/highway_v1.jpg"
"5047","AC/DC Argentina","AC/DC","images/acdc/acdc_argentina.jpg"
"5048","For Those Angus","AC/DC","images/acdc/for_those_angus.jpg"
"5049","High Voltage","AC/DC","images/acdc/acdc_high_voltage.jpg"
"5127","Power Up","AC/DC","images/acdc/pwr_acdc.jpg"
"5128","Angus Black & White","AC/DC","images/acdc/angus_black_and_white.jpg"
"5052","Highway Circular","AC/DC","images/acdc/highway_circular.jpg"
"5102","Are You Ready","AC/DC","images/acdc/are_you_ready.jpg"
"5103","AC/DC PWR UP","AC/DC","images/acdc/acdc_pwrup.jpg"
"6010","Brian Camiseta Argentina","AC/DC","images/acdc/brian_camiseta_argentina.jpg"
"6011","Angus Young Electric","AC/DC","images/acdc/angus_young_electric.jpg"
"5053","Hangar 18","Singles","images/singles/hangar_18_single_frente.jpg"
"6031","Lucretia","Singles","images/singles/lucretia.jpg"
"6022","Fast... Loud... and Rude! Ã¢â‚¬â€ Skull Splitting Metal","OrÃ­genes","images/orÃ­genes/frente_blanca_v1.png"
"5057","Hoodie Killing Original","Hoodies FMD","images/hoddies_fmd/killing_original.jpg"
"5061","Hoodie Peace Sells","Hoodies FMD","images/hoddies_fmd/peace_sells.jpg"
"5056","Hoodie Dave SFSGSW Era","Hoodies FMD","images/hoddies_fmd/dave_sfsgsw_era.jpg"
"5062","Hoodie Rust in Peace","Hoodies FMD","images/hoddies_fmd/rust_in_peace.jpg"
"5071","Hoodie Rust in Peace 1990","Hoodies FMD","images/hoddies_fmd/rust_in_peace_1990.jpg"
"5055","Hoodie Countdown","Hoodies FMD","images/hoddies_fmd/countdown.jpg"
"5064","Hoodie Youthanasia","Hoodies FMD","images/hoddies_fmd/youthanasia.jpg"
"5065","Hoodie Cryptic Writings","Hoodies FMD","images/hoddies_fmd/cryptic.jpg"
"5066","Hoodie Dystopia","Hoodies FMD","images/hoddies_fmd/dystopia.jpg"
"5059","Hoodie Megadeth Final","Hoodies FMD","images/hoddies_fmd/megadeth_final_black.jpg"
"5060","Hoodie Megadeth Blanco","Hoodies FMD","images/hoddies_fmd/megadeth_final_white.jpg"
"5063","Hoodie Vic Father","Hoodies FMD","images/hoddies_fmd/vic_father_original.jpg"
"5067","Hoodie Made to Kill","Hoodies FMD","images/hoddies_fmd/made_to_kill.jpg"
"5068","Hoodie I Don't Care","Hoodies FMD","images/hoddies_fmd/i_dont_care.jpg"
"5069","Hoodie Let There Be Shred","Hoodies FMD","images/hoddies_fmd/let_there_be_shred.jpg"
"5070","Hoodie Tipping Point","Hoodies FMD","images/hoddies_fmd/tipping_point.jpg"
"5072","Hoodie Vic Promo Tour 2026","Hoodies FMD","images/hoddies_fmd/vic_promo_tour_2026.jpg"
"5073","Hoodie Vic Digital DLB","Hoodies FMD","images/hoddies_fmd/vic_digital_dlb.jpg"
"5074","Hoodie Merch Tour V1","Hoodies FMD","images/tours/merch tour this was our life 2026/hoodies/merch_tour_v1.jpg"
"5075","Hoodie Vic Militar","Hoodies FMD","images/hoddies_fmd/vic_militar_hoodie.png"
"5076","Hoodie Guitarra Argentina","Hoodies FMD","images/hoddies_fmd/guitarra_argentina.png"
"6001","Hoodie Black Label","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/black_label.jpg"
"6002","Hoodie Dimebag Fire","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/dimebag_fire.jpg"
"6003","Hoodie Exodus","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/exodus.jpg"
"6004","Hoodie Iron Maiden","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/iron_maiden.jpg"
"6005","Hoodie Iron Maiden 666","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/iron_maiden_666.jpg"
"6006","Hoodie Iron Maiden Killers v1","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/iron_maiden_killers_v1.jpg"
"6007","Hoodie Iron Maiden Killers v2","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/iron_maiden_killers_v2.jpg"
"6008","Hoodie Pantera","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/pantera.jpg"
"6009","Hoodie Rhapsody","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/rapshody.jpg"
"6012","Hoodie Sepultura","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/sepultura.jpg"
"6016","Hoodie Death","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/death.jpg"
"6017","Hoodie Rhapsody V1","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/raphsody_v1.jpg"
"6018","Hoodie Black Sabbath The End","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/black_sabbath_the_end.jpg"
"6019","Hoodie Black Sabbath Tour","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/black_sabbath_tour.jpg"
"6021","Hoodie AC/DC Are You Ready","Hoodies Otras Bandas","images/hoddies_fmd/hoodies_otras_bandas/acdc_are_you_ready.jpg"
