id,name,band,universe,album,garments,collections,campaigns,commercialPriority,visibilityTier,legacyCategory
"5126","Dimebag Darrell Live","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","64","catalog","Pantera"
"410","Dimebag Logo Fuego","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","64","catalog","Pantera"
"411","Guitar Dimebag","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","64","catalog","Pantera"
"412","Pantera Art","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive","-","64","catalog","Pantera"
"413","Pantera Band v1","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive","-","64","catalog","Pantera"
"414","Pantera Snake v1","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive","-","64","catalog","Pantera"
"415","Pantera Snake v2","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive","-","64","catalog","Pantera"
"4190","Phil Emblem","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive","-","64","catalog","Pantera"
"4191","Vulgar FMD","Pantera","Groove Metal; Heavy Metal Classics; FMD Editions","Vulgar Display of Power","remera","Pantera Archive; Vulgar Display of Power; FMD Editions","-","78","featured","Pantera"
"6008","Hoodie Pantera","Pantera","Groove Metal; Heavy Metal Classics","-","hoodie","Pantera Archive","-","76","featured","Hoodies Otras Bandas"
"302","AC/DC Money Talks","AC/DC","Rock Legends; Heavy Metal Classics","The Razors Edge","remera","AC/DC Archive; The Razors Edge","-","78","featured","AC/DC"
"303","AC/DC Angus PWRD UP","AC/DC","Rock Legends; Heavy Metal Classics","Power Up","remera","AC/DC Archive; Power Up; Angus Young","-","80","featured","AC/DC"
"60","AC/DC Europe 84","AC/DC","Rock Legends; Heavy Metal Classics","-","remera","AC/DC Archive; Tour Archive","Tour Archive","64","catalog","AC/DC"
"5040","Angus Young V1","AC/DC","Rock Legends; Heavy Metal Classics","-","remera","AC/DC Archive; Angus Young","-","64","catalog","AC/DC"
"5041","Black Ice","AC/DC","Rock Legends; Heavy Metal Classics","Black Ice","remera","AC/DC Archive; Black Ice","-","76","featured","AC/DC"
"5042","Fly on the Wall","AC/DC","Rock Legends; Heavy Metal Classics","Fly on the Wall","remera","AC/DC Archive; Fly on the Wall","-","64","catalog","AC/DC"
"5043","For Those Remastered","AC/DC","Rock Legends; Heavy Metal Classics","For Those About to Rock We Salute You","remera","AC/DC Archive; For Those About to Rock We Salute You","-","64","catalog","AC/DC"
"5044","Let There Be Rock (Black)","AC/DC","Rock Legends; Heavy Metal Classics","Let There Be Rock","remera","AC/DC Archive; Let There Be Rock","-","77","featured","AC/DC"
"5045","Let There Be Rock (White)","AC/DC","Rock Legends; Heavy Metal Classics","Let There Be Rock","remera","AC/DC Archive; Let There Be Rock","-","77","featured","AC/DC"
"5046","Highway to Hell V1","AC/DC","Rock Legends; Heavy Metal Classics","Highway to Hell","remera","AC/DC Archive; Highway to Hell","-","82","featured","AC/DC"
"5048","For Those Angus","AC/DC","Rock Legends; Heavy Metal Classics","For Those About to Rock We Salute You","remera","AC/DC Archive; For Those About to Rock We Salute You; Angus Young","-","64","catalog","AC/DC"
"5049","High Voltage","AC/DC","Rock Legends; Heavy Metal Classics","High Voltage","remera","AC/DC Archive; High Voltage","-","76","featured","AC/DC"
"5127","Power Up","AC/DC","Rock Legends; Heavy Metal Classics","Power Up","remera","AC/DC Archive; Power Up","-","80","featured","AC/DC"
"5128","Angus Black & White","AC/DC","Rock Legends; Heavy Metal Classics","-","remera","AC/DC Archive; Angus Young","-","64","catalog","AC/DC"
"5052","Highway Circular","AC/DC","Rock Legends; Heavy Metal Classics","Highway to Hell","remera","AC/DC Archive; Highway to Hell","-","64","catalog","AC/DC"
"5102","Are You Ready","AC/DC","Rock Legends; Heavy Metal Classics","The Razors Edge","remera","AC/DC Archive; The Razors Edge","-","79","featured","AC/DC"
"5103","AC/DC PWR UP","AC/DC","Rock Legends; Heavy Metal Classics","Power Up","remera","AC/DC Archive; Power Up","-","81","featured","AC/DC"
"6010","Brian Camiseta Argentina","AC/DC","Rock Legends; Heavy Metal Classics","-","remera","AC/DC Archive","Argentina 2026","64","catalog","AC/DC"
"6011","Angus Young Electric","AC/DC","Rock Legends; Heavy Metal Classics","-","remera","AC/DC Archive; Angus Young","-","64","catalog","AC/DC"
"6021","Hoodie AC/DC Are You Ready","AC/DC","Rock Legends; Heavy Metal Classics","The Razors Edge","hoodie","AC/DC Archive; The Razors Edge","-","77","featured","Hoodies Otras Bandas"
"2001","Avenged Sevenfold Collection","Avenged Sevenfold","Modern Metal","-","remera","Avenged Sevenfold Archive","-","82","featured","Avenged Sevenfold"
