band,cards,normalized,pending,designs
"Megadeth","123","40","83","354"
"Iron Maiden","39","39","0","52"
"AC/DC","22","22","0","30"
"Pantera","22","22","0","26"
"Slayer","21","21","0","37"
"Sin banda / revision manual","7","0","7","8"
"Metallica","5","5","0","16"
"Black Sabbath","3","3","0","6"
"Avenged Sevenfold","2","2","0","13"
"Black Label Society","2","2","0","3"
"Dream Theater","2","2","0","4"
"Hermetica","2","2","0","2"
"Motorhead","2","2","0","2"
"Rhapsody","2","2","0","2"
"Sepultura","2","2","0","2"
"Sodom","2","2","0","5"
"WASP","2","2","0","4"
"Alice in Chains","1","1","0","1"
"Almafuerte","1","1","0","1"
"Amon Amarth","1","1","0","1"
"Angra","1","1","0","3"
"Aphex Twin","1","1","0","1"
"Cacophony","1","1","0","2"
"Death","1","1","0","1"
"Def Leppard","1","1","0","4"
"Down","1","1","0","2"
"Exodus","1","1","0","1"
"Flema","1","1","0","1"
"Gojira","1","1","0","4"
"Guns N' Roses","1","1","0","3"
"Hawthorne","1","1","0","1"
"Helloween","1","1","0","3"
"Jason Becker","1","1","0","2"
"Judas Priest","1","1","0","1"
"Kanonenfieber","1","1","0","1"
"Lethal","1","1","0","1"
"Nightwish","1","1","0","1"
"Nirvana","1","1","0","1"
"Ozzy Osbourne","1","1","0","1"
"Primal Fear","1","1","0","1"
"Rammstein","1","1","0","1"
"Ramones","1","1","0","1"
"Saltatio Mortis","1","1","0","1"
"Sundenrausch","1","1","0","1"
"Symphony X","1","1","0","1"
"Testament","1","1","0","4"
"Wintersun","1","1","0","1"
