id,operation,name,band,universe,album,garments,collections,campaigns,commercialPriority,visibilityTier,legacyCategory,tags
"5001","full-migration","Alice in Chains","Alice in Chains","Rock Legends","Dirt","remera","Alice in Chains Archive; Dirt","-","78","featured","Bandas Sugeridas","Alice in Chains; Rock Legends; Dirt; remera; Alice in Chains Archive"
"5002","full-migration","Angra","Angra","Heavy Metal Classics; Modern Metal","-","remera","Angra Archive","-","78","featured","Bandas Sugeridas","Angra; Heavy Metal Classics; Modern Metal; remera; Angra Archive"
"5004","full-migration","Def Leppard","Def Leppard","Rock Legends; Heavy Metal Classics","-","remera","Def Leppard Archive","-","78","featured","Bandas Sugeridas","Def Leppard; Rock Legends; Heavy Metal Classics; remera; Def Leppard Archive"
"5005","full-migration","Dream Theater","Dream Theater","Modern Metal","Parasomnia","remera","Dream Theater Archive; Parasomnia","-","78","featured","Bandas Sugeridas","Dream Theater; Modern Metal; Parasomnia; remera; Dream Theater Archive"
"5007","full-migration","Guns N' Roses","Guns N' Roses","Rock Legends","-","remera","Guns N' Roses Archive","-","78","featured","Bandas Sugeridas","Guns N' Roses; Rock Legends; remera; Guns N' Roses Archive"
"5008","full-migration","Hawthorne","Hawthorne","Modern Metal","-","remera","Hawthorne Archive","-","64","catalog","Bandas Sugeridas","Hawthorne; Modern Metal; remera; Hawthorne Archive"
"5009","full-migration","Helloween","Helloween","Heavy Metal Classics","-","remera","Helloween Archive","-","78","featured","Bandas Sugeridas","Helloween; Heavy Metal Classics; remera; Helloween Archive"
"5010","full-migration","HermÃ©tica","Hermetica","Argentina Heavy","Acido Argentino","remera","Hermetica Archive; Acido Argentino","-","78","featured","Bandas Sugeridas","Hermetica; Argentina Heavy; Acido Argentino; remera; Hermetica Archive"
"5011","full-migration","Lethal","Lethal","Argentina Heavy","-","remera","Lethal Archive","-","64","catalog","Bandas Sugeridas","Lethal; Argentina Heavy; remera; Lethal Archive"
"5012","full-migration","Nightwish","Nightwish","Modern Metal; Heavy Metal Classics","Once","remera","Nightwish Archive; Once","-","78","featured","Bandas Sugeridas","Nightwish; Modern Metal; Heavy Metal Classics; Once; remera; Nightwish Archive"
"5013","full-migration","Ozzy Osbourne","Ozzy Osbourne","Heavy Metal Classics; Rock Legends","-","remera","Ozzy Osbourne Archive","-","78","featured","Bandas Sugeridas","Ozzy Osbourne; Heavy Metal Classics; Rock Legends; remera; Ozzy Osbourne Archive"
"5014","full-migration","Rammstein","Rammstein","Modern Metal","-","remera","Rammstein Archive","-","78","featured","Bandas Sugeridas","Rammstein; Modern Metal; remera; Rammstein Archive"
"5015","full-migration","Sepultura","Sepultura","Groove Metal; Thrash Metal","Roots","remera","Sepultura Archive; Roots","-","78","featured","Bandas Sugeridas","Sepultura; Groove Metal; Thrash Metal; Roots; remera; Sepultura Archive"
"6012","full-migration","Hoodie Sepultura","Sepultura","Groove Metal; Thrash Metal","Roots","hoodie","Sepultura Archive; Roots","-","78","featured","Hoodies Otras Bandas","Sepultura; Groove Metal; Thrash Metal; Roots; hoodie; Sepultura Archive"
"5018","full-migration","SÃ¼ndenrausch","Sundenrausch","Modern Metal","-","remera","Sundenrausch Archive","-","64","catalog","Bandas Sugeridas","Sundenrausch; Modern Metal; remera; Sundenrausch Archive"
"5200","full-migration","Cacophony","Cacophony","Heavy Metal Classics","-","remera","Cacophony Archive","-","78","featured","Bandas Sugeridas","Cacophony; Heavy Metal Classics; remera; Cacophony Archive"
"6001","full-migration","Hoodie Black Label","Black Label Society","Groove Metal; Heavy Metal Classics","-","hoodie","Black Label Society Archive","-","78","featured","Hoodies Otras Bandas","Black Label Society; Groove Metal; Heavy Metal Classics; hoodie; Black Label Society Archive"
"6002","full-migration","Hoodie Dimebag Fire","Pantera","Groove Metal; Heavy Metal Classics","-","hoodie","Pantera Archive","-","78","featured","Hoodies Otras Bandas","Pantera; Groove Metal; Heavy Metal Classics; hoodie; Pantera Archive"
"6003","full-migration","Hoodie Exodus","Exodus","Thrash Metal","-","hoodie","Exodus Archive","-","78","featured","Hoodies Otras Bandas","Exodus; Thrash Metal; hoodie; Exodus Archive"
"6009","full-migration","Hoodie Rhapsody","Rhapsody","Heavy Metal Classics","-","hoodie","Rhapsody Archive","-","78","featured","Hoodies Otras Bandas","Rhapsody; Heavy Metal Classics; hoodie; Rhapsody Archive"
"6017","full-migration","Hoodie Rhapsody V1","Rhapsody","Heavy Metal Classics","-","hoodie","Rhapsody Archive","-","78","featured","Hoodies Otras Bandas","Rhapsody; Heavy Metal Classics; hoodie; Rhapsody Archive"
"6016","full-migration","Hoodie Death","Death","Modern Metal","-","hoodie","Death Archive","-","78","featured","Hoodies Otras Bandas","Death; Modern Metal; hoodie; Death Archive"
"5122","full-migration","Aphex Twin","Aphex Twin","Custom Archive","-","remera","Personalizados FMD","-","52","catalog","Personalizados","Aphex Twin; Custom Archive; remera; Personalizados FMD"
"312","full-migration","Jason Becker","Jason Becker","Heavy Metal Classics; Custom Archive","-","remera","Personalizados FMD","-","52","catalog","Personalizados","Jason Becker; Heavy Metal Classics; Custom Archive; remera; Personalizados FMD"
